Age,Height,Sex_mapped,Overweight_Obese_Family_mapped,Consumption_of_Fast_Food_mapped,Frequency_of_Consuming_Vegetables_mapped,Number_of_Main_Meals_Daily_mapped,Food_Intake_Between_Meals_mapped,Smoking_mapped,Liquid_Intake_Daily_mapped,Calculation_of_Calorie_Intake_mapped,Physical_Excercise_mapped,Schedule_Dedicated_to_Technology_mapped,Type_of_Transportation_Used_mapped,Class_mapped
20,155,Female,No,No,Always,3,Usually,No,Between 1 and 2 Liters,No,1-2 days per week,More than 5 hourse per day,Bike,Normal
20,156,Female,No,No,Sometimes,3,Sometimes,No,Between 1 and 2 Liters,No,5-6 days per week,More than 5 hourse per day,Public Transportation,Normal
20,157,Female,No,No,Always,3,Always,Yes,Between 1 and 2 Liters,No,3-4 days per week,More than 5 hourse per day,Bike,Normal
20,157,Female,No,No,Sometimes,1 or 2 ,Sometimes,No,Less than 1 Liter,No,3-4 days per week,More than 5 hourse per day,Public Transportation,Normal
20,158,Female,No,No,Always,3,Sometimes,No,Between 1 and 2 Liters,No,3-4 days per week,More than 5 hourse per day,Bike,Normal
20,158,Female,No,No,Sometimes,1 or 2 ,Usually,No,More than 2 Liters,No,No sports,More than 5 hourse per day,Bike,Normal
20,158,Female,No,No,Sometimes,3,Sometimes,No,Between 1 and 2 Liters,No,1-2 days per week,More than 5 hourse per day,Walking,Normal
20,158,Female,No,No,Always,3,Sometimes,No,Between 1 and 2 Liters,No,No sports,More than 5 hourse per day,Walking,Normal
20,159,Female,No,No,Always,3,Rarely,No,Between 1 and 2 Liters,No,1-2 days per week,More than 5 hourse per day,Walking,Normal
20,160,Female,No,No,Sometimes,3,Always,No,Between 1 and 2 Liters,No,3-4 days per week,More than 5 hourse per day,Bike,Overweight
20,161,Female,No,Yes,Always,3,Usually,No,Between 1 and 2 Liters,No,5-6 days per week,More than 5 hourse per day,Bike,Normal
20,161,Female,No,No,Sometimes,More than 3,Always,No,More than 2 Liters,No,No sports,More than 5 hourse per day,Public Transportation,Overweight
20,161,Female,No,Yes,Sometimes,3,Usually,No,Between 1 and 2 Liters,No,No sports,3-5 hours per day,Automobile,Obesity
20,162,Female,No,No,Always,3,Sometimes,No,Less than 1 Liter,Yes,No sports,More than 5 hourse per day,Public Transportation,Normal
20,162,Female,No,Yes,Sometimes,3,Rarely,No,Less than 1 Liter,No,3-4 days per week,More than 5 hourse per day,Walking,Overweight
20,163,Female,No,No,Rarely,More than 3,Rarely,No,Between 1 and 2 Liters,Yes,5-6 days per week,More than 5 hourse per day,Public Transportation,Overweight
20,163,Female,No,No,Sometimes,3,Sometimes,No,Less than 1 Liter,No,1-2 days per week,More than 5 hourse per day,Bike,Normal
20,163,Female,No,No,Always,1 or 2 ,Sometimes,No,Between 1 and 2 Liters,No,5-6 days per week,More than 5 hourse per day,Walking,Normal
20,164,Female,No,No,Sometimes,3,Sometimes,No,Between 1 and 2 Liters,No,1-2 days per week,More than 5 hourse per day,Public Transportation,Normal
20,164,Female,No,No,Sometimes,1 or 2 ,Usually,No,Between 1 and 2 Liters,No,3-4 days per week,More than 5 hourse per day,Motorbike,Normal
20,165,Female,No,No,Sometimes,3,Rarely,No,Between 1 and 2 Liters,No,1-2 days per week,More than 5 hourse per day,Public Transportation,Normal
20,165,Female,No,No,Sometimes,3,Sometimes,No,More than 2 Liters,No,No sports,More than 5 hourse per day,Public Transportation,Normal
20,168,Female,No,No,Always,3,Sometimes,No,More than 2 Liters,No,No sports,More than 5 hourse per day,Public Transportation,Normal
20,169,Female,No,No,Always,3,Always,No,Between 1 and 2 Liters,No,No sports,More than 5 hourse per day,Public Transportation,Normal
20,171,Female,No,No,Always,3,Rarely,No,More than 2 Liters,No,No sports,More than 5 hourse per day,Public Transportation,Normal
20,175,Female,No,No,Always,3,Usually,No,More than 2 Liters,No,1-2 days per week,More than 5 hourse per day,Motorbike,Normal
20,177,Female,No,No,Sometimes,1 or 2 ,Sometimes,No,Less than 1 Liter,No,3-4 days per week,More than 5 hourse per day,Public Transportation,Normal
20,178,Female,No,No,Always,1 or 2 ,Sometimes,No,Between 1 and 2 Liters,No,5-6 days per week,More than 5 hourse per day,Public Transportation,Normal
21,153,Female,No,No,Sometimes,1 or 2 ,Usually,No,More than 2 Liters,No,3-4 days per week,More than 5 hourse per day,Public Transportation,Normal
21,155,Female,No,No,Sometimes,1 or 2 ,Rarely,No,More than 2 Liters,No,No sports,More than 5 hourse per day,Public Transportation,Overweight
21,155,Female,No,No,Sometimes,1 or 2 ,Sometimes,No,Between 1 and 2 Liters,No,3-4 days per week,More than 5 hourse per day,Public Transportation,Overweight
21,156,Female,No,No,Always,3,Always,No,Between 1 and 2 Liters,No,3-4 days per week,More than 5 hourse per day,Bike,Normal
21,157,Female,No,No,Sometimes,3,Sometimes,No,Between 1 and 2 Liters,No,1-2 days per week,More than 5 hourse per day,Bike,Normal
21,157,Female,No,Yes,Always,1 or 2 ,Usually,No,Less than 1 Liter,No,3-4 days per week,More than 5 hourse per day,Public Transportation,Normal
21,158,Female,No,Yes,Always,3,Rarely,Yes,Between 1 and 2 Liters,No,No sports,More than 5 hourse per day,Public Transportation,Normal
21,158,Female,No,No,Sometimes,3,Sometimes,No,Less than 1 Liter,No,1-2 days per week,More than 5 hourse per day,Public Transportation,Normal
21,164,Female,No,No,Sometimes,3,Sometimes,No,Between 1 and 2 Liters,No,1-2 days per week,3-5 hours per day,Public Transportation,Normal
21,160,Female,No,No,Sometimes,1 or 2 ,Sometimes,No,More than 2 Liters,No,3-4 days per week,More than 5 hourse per day,Bike,Normal
21,160,Female,No,No,Always,1 or 2 ,Usually,No,Between 1 and 2 Liters,No,No sports,More than 5 hourse per day,Bike,Normal
21,160,Female,No,No,Always,1 or 2 ,Always,No,More than 2 Liters,No,3-4 days per week,More than 5 hourse per day,Public Transportation,Normal
21,163,Female,No,No,Always,1 or 2 ,Rarely,No,Between 1 and 2 Liters,No,3-4 days per week,More than 5 hourse per day,Public Transportation,Normal
21,163,Female,No,Yes,Always,More than 3,Usually,Yes,Less than 1 Liter,No,5-6 days per week,3-5 hours per day,Motorbike,Normal
21,163,Female,No,No,Always,3,Usually,No,More than 2 Liters,No,1-2 days per week,More than 5 hourse per day,Public Transportation,Normal
21,164,Female,No,No,Always,3,Sometimes,No,Between 1 and 2 Liters,No,3-4 days per week,More than 5 hourse per day,Walking,Overweight
21,164,Female,No,No,Sometimes,3,Sometimes,No,More than 2 Liters,No,1-2 days per week,More than 5 hourse per day,Public Transportation,Normal
21,165,Female,No,No,Always,1 or 2 ,Always,No,Less than 1 Liter,No,3-4 days per week,More than 5 hourse per day,Bike,Normal
21,166,Female,Yes,No,Sometimes,1 or 2 ,Rarely,No,Between 1 and 2 Liters,No,3-4 days per week,More than 5 hourse per day,Public Transportation,Normal
21,169,Female,No,No,Sometimes,3,Sometimes,No,Less than 1 Liter,No,1-2 days per week,More than 5 hourse per day,Bike,Normal
21,171,Female,No,Yes,Always,3,Usually,No,Less than 1 Liter,No,3-4 days per week,More than 5 hourse per day,Bike,Normal
21,174,Female,No,No,Always,3,Sometimes,No,Between 1 and 2 Liters,No,3-4 days per week,More than 5 hourse per day,Walking,Normal
21,177,Female,No,No,Always,3,Rarely,No,Between 1 and 2 Liters,No,No sports,More than 5 hourse per day,Bike,Normal
22,156,Female,No,No,Always,1 or 2 ,Rarely,No,Less than 1 Liter,No,3-4 days per week,More than 5 hourse per day,Bike,Normal
22,156,Female,No,No,Always,3,Usually,No,Between 1 and 2 Liters,No,No sports,More than 5 hourse per day,Public Transportation,Normal
22,156,Female,No,No,Always,3,Usually,No,More than 2 Liters,No,No sports,More than 5 hourse per day,Public Transportation,Normal
22,157,Female,No,No,Always,3,Always,No,More than 2 Liters,No,3-4 days per week,More than 5 hourse per day,Walking,Normal
22,158,Female,No,No,Always,3,Rarely,No,Less than 1 Liter,No,3-4 days per week,More than 5 hourse per day,Bike,Normal
22,170,Female,No,No,Always,3,Rarely,No,More than 2 Liters,No,3-4 days per week,3-5 hours per day,Bike,Normal
22,159,Female,No,No,Always,1 or 2 ,Usually,No,Less than 1 Liter,No,3-4 days per week,3-5 hours per day,Bike,Normal
22,159,Female,No,No,Sometimes,1 or 2 ,Sometimes,No,More than 2 Liters,Yes,1-2 days per week,3-5 hours per day,Public Transportation,Normal
22,159,Female,No,No,Always,1 or 2 ,Usually,No,More than 2 Liters,No,3-4 days per week,3-5 hours per day,Public Transportation,Normal
22,160,Female,No,No,Sometimes,1 or 2 ,Always,Yes,Between 1 and 2 Liters,Yes,1-2 days per week,3-5 hours per day,Public Transportation,Normal
22,160,Female,No,No,Always,1 or 2 ,Rarely,No,Less than 1 Liter,No,No sports,3-5 hours per day,Public Transportation,Normal
22,161,Female,No,No,Always,3,Sometimes,No,Between 1 and 2 Liters,No,3-4 days per week,3-5 hours per day,Public Transportation,Normal
22,161,Female,No,No,Always,1 or 2 ,Usually,No,Between 1 and 2 Liters,Yes,No sports,3-5 hours per day,Public Transportation,Normal
22,163,Female,No,No,Always,3,Usually,No,Less than 1 Liter,No,No sports,3-5 hours per day,Public Transportation,Normal
22,167,Female,No,No,Sometimes,1 or 2 ,Rarely,No,More than 2 Liters,No,No sports,3-5 hours per day,Public Transportation,Normal
22,168,Female,No,No,Sometimes,3,Sometimes,No,Between 1 and 2 Liters,No,1-2 days per week,3-5 hours per day,Bike,Normal
22,171,Female,No,No,Always,1 or 2 ,Rarely,Yes,Between 1 and 2 Liters,No,3-4 days per week,3-5 hours per day,Walking,Normal
22,172,Female,No,No,Sometimes,3,Sometimes,No,More than 2 Liters,No,1-2 days per week,3-5 hours per day,Public Transportation,Normal
22,174,Female,Yes,Yes,Always,3,Rarely,Yes,Between 1 and 2 Liters,No,5-6 days per week,3-5 hours per day,Public Transportation,Normal
23,156,Female,No,No,Always,3,Sometimes,No,More than 2 Liters,No,3-4 days per week,3-5 hours per day,Public Transportation,Normal
23,156,Female,No,No,Sometimes,1 or 2 ,Rarely,No,Between 1 and 2 Liters,No,3-4 days per week,3-5 hours per day,Bike,Normal
23,156,Female,Yes,No,Sometimes,3,Sometimes,No,Between 1 and 2 Liters,No,1-2 days per week,3-5 hours per day,Bike,Normal
23,156,Female,No,No,Sometimes,3,Sometimes,No,Between 1 and 2 Liters,No,5-6 days per week,3-5 hours per day,Bike,Overweight
23,157,Female,No,No,Always,1 or 2 ,Usually,No,Between 1 and 2 Liters,No,No sports,3-5 hours per day,Public Transportation,Normal
23,157,Female,No,No,Always,1 or 2 ,Usually,No,Between 1 and 2 Liters,No,3-4 days per week,3-5 hours per day,Walking,Normal
23,159,Female,Yes,Yes,Rarely,More than 3,Sometimes,Yes,Less than 1 Liter,Yes,7 days per week,3-5 hours per day,Automobile,Obesity
23,170,Female,No,No,Sometimes,1 or 2 ,Usually,No,More than 2 Liters,No,3-4 days per week,3-5 hours per day,Public Transportation,Normal
23,160,Female,No,No,Always,3,Sometimes,No,Between 1 and 2 Liters,No,3-4 days per week,3-5 hours per day,Motorbike,Normal
23,160,Female,No,No,Always,3,Usually,No,Less than 1 Liter,No,3-4 days per week,3-5 hours per day,Public Transportation,Normal
23,160,Female,No,No,Always,3,Sometimes,No,More than 2 Liters,No,No sports,3-5 hours per day,Public Transportation,Normal
23,161,Female,No,No,Always,3,Always,No,More than 2 Liters,No,1-2 days per week,3-5 hours per day,Public Transportation,Normal
23,161,Female,No,No,Always,1 or 2 ,Usually,No,Less than 1 Liter,No,3-4 days per week,3-5 hours per day,Walking,Normal
23,161,Female,No,No,Sometimes,1 or 2 ,Sometimes,Yes,More than 2 Liters,No,1-2 days per week,3-5 hours per day,Bike,Normal
23,162,Female,No,No,Always,1 or 2 ,Sometimes,No,More than 2 Liters,No,3-4 days per week,3-5 hours per day,Public Transportation,Normal
23,162,Female,No,No,Sometimes,1 or 2 ,Usually,No,Less than 1 Liter,No,3-4 days per week,3-5 hours per day,Public Transportation,Normal
23,162,Female,No,No,Always,3,Rarely,No,Between 1 and 2 Liters,No,1-2 days per week,3-5 hours per day,Walking,Normal
23,163,Female,No,No,Sometimes,3,Sometimes,No,More than 2 Liters,No,1-2 days per week,3-5 hours per day,Walking,Normal
23,165,Female,Yes,Yes,Sometimes,1 or 2 ,Rarely,Yes,More than 2 Liters,No,7 days per week,3-5 hours per day,Walking,Normal
23,165,Female,No,No,Always,3,Sometimes,No,More than 2 Liters,No,1-2 days per week,3-5 hours per day,Bike,Normal
23,166,Female,No,No,Always,3,Sometimes,No,Less than 1 Liter,No,1-2 days per week,3-5 hours per day,Public Transportation,Normal
23,167,Female,No,No,Sometimes,3,Sometimes,No,More than 2 Liters,No,1-2 days per week,3-5 hours per day,Bike,Normal
23,172,Female,No,No,Sometimes,1 or 2 ,Rarely,No,More than 2 Liters,No,3-4 days per week,3-5 hours per day,Bike,Normal
23,172,Female,No,No,Always,3,Rarely,No,More than 2 Liters,No,3-4 days per week,3-5 hours per day,Public Transportation,Normal
23,173,Female,No,No,Sometimes,1 or 2 ,Sometimes,No,Between 1 and 2 Liters,No,No sports,3-5 hours per day,Public Transportation,Normal
23,176,Female,No,No,Always,1 or 2 ,Usually,No,Between 1 and 2 Liters,Yes,3-4 days per week,3-5 hours per day,Public Transportation,Normal
24,158,Female,No,No,Always,1 or 2 ,Rarely,Yes,Between 1 and 2 Liters,No,No sports,3-5 hours per day,Public Transportation,Normal
24,158,Female,No,No,Sometimes,1 or 2 ,Rarely,No,Between 1 and 2 Liters,No,1-2 days per week,3-5 hours per day,Public Transportation,Normal
24,159,Female,No,No,Sometimes,3,Sometimes,No,Between 1 and 2 Liters,No,5-6 days per week,3-5 hours per day,Walking,Normal
24,159,Female,No,No,Always,3,Sometimes,No,Less than 1 Liter,No,1-2 days per week,3-5 hours per day,Public Transportation,Normal
24,159,Female,Yes,No,Always,3,Sometimes,No,Between 1 and 2 Liters,No,3-4 days per week,3-5 hours per day,Public Transportation,Normal
24,160,Female,No,No,Always,3,Sometimes,No,Between 1 and 2 Liters,No,3-4 days per week,3-5 hours per day,Bike,Normal
24,161,Female,No,No,Always,More than 3,Rarely,No,More than 2 Liters,No,3-4 days per week,3-5 hours per day,Public Transportation,Normal
24,161,Female,No,No,Sometimes,3,Sometimes,No,Less than 1 Liter,No,1-2 days per week,3-5 hours per day,Bike,Normal
24,161,Female,No,No,Always,1 or 2 ,Sometimes,No,Less than 1 Liter,No,3-4 days per week,3-5 hours per day,Public Transportation,Normal
24,161,Female,No,No,Always,More than 3,Usually,No,More than 2 Liters,No,5-6 days per week,3-5 hours per day,Public Transportation,Normal
24,161,Female,No,No,Sometimes,1 or 2 ,Rarely,No,Between 1 and 2 Liters,Yes,3-4 days per week,3-5 hours per day,Bike,Normal
24,163,Female,No,No,Always,3,Usually,No,Between 1 and 2 Liters,No,No sports,3-5 hours per day,Public Transportation,Normal
24,164,Female,No,No,Sometimes,1 or 2 ,Usually,No,Less than 1 Liter,No,3-4 days per week,3-5 hours per day,Bike,Normal
24,164,Female,No,Yes,Always,1 or 2 ,Rarely,Yes,More than 2 Liters,No,7 days per week,3-5 hours per day,Bike,Normal
24,164,Female,No,No,Sometimes,1 or 2 ,Sometimes,No,More than 2 Liters,No,5-6 days per week,3-5 hours per day,Public Transportation,Normal
24,166,Female,No,Yes,Always,3,Rarely,No,More than 2 Liters,No,3-4 days per week,3-5 hours per day,Public Transportation,Normal
24,168,Female,No,No,Always,3,Sometimes,No,Less than 1 Liter,No,3-4 days per week,3-5 hours per day,Walking,Normal
24,169,Female,No,No,Always,3,Rarely,No,Less than 1 Liter,No,3-4 days per week,3-5 hours per day,Public Transportation,Normal
24,175,Female,No,No,Always,3,Usually,No,Less than 1 Liter,No,3-4 days per week,3-5 hours per day,Walking,Normal
24,177,Female,No,No,Always,1 or 2 ,Rarely,No,More than 2 Liters,No,No sports,3-5 hours per day,Public Transportation,Normal
25,152,Female,No,No,Sometimes,3,Usually,No,More than 2 Liters,No,3-4 days per week,3-5 hours per day,Public Transportation,Normal
25,153,Female,No,Yes,Rarely,3,Sometimes,Yes,More than 2 Liters,No,5-6 days per week,3-5 hours per day,Public Transportation,Overweight
25,155,Female,No,No,Always,3,Usually,No,More than 2 Liters,No,1-2 days per week,3-5 hours per day,Bike,Normal
25,157,Female,No,No,Sometimes,3,Sometimes,No,More than 2 Liters,No,1-2 days per week,3-5 hours per day,Walking,Normal
25,158,Female,No,No,Always,3,Sometimes,No,More than 2 Liters,No,7 days per week,3-5 hours per day,Public Transportation,Normal
25,158,Female,No,No,Always,3,Sometimes,No,More than 2 Liters,No,1-2 days per week,1-2 hours per day,Bike,Normal
25,160,Female,No,No,Sometimes,3,Sometimes,No,More than 2 Liters,No,3-4 days per week,3-5 hours per day,Walking,Overweight
25,160,Female,No,No,Always,More than 3,Usually,Yes,More than 2 Liters,No,7 days per week,More than 5 hourse per day,Public Transportation,Normal
25,162,Female,No,No,Sometimes,1 or 2 ,Sometimes,No,More than 2 Liters,No,1-2 days per week,1-2 hours per day,Public Transportation,Normal
25,162,Female,No,No,Always,3,Sometimes,No,More than 2 Liters,No,5-6 days per week,3-5 hours per day,Public Transportation,Overweight
25,163,Female,No,No,Sometimes,3,Sometimes,No,More than 2 Liters,No,3-4 days per week,3-5 hours per day,Bike,Normal
25,165,Female,No,No,Sometimes,3,Usually,No,More than 2 Liters,No,1-2 days per week,3-5 hours per day,Public Transportation,Normal
25,165,Female,No,No,Sometimes,1 or 2 ,Sometimes,No,More than 2 Liters,No,7 days per week,3-5 hours per day,Public Transportation,Normal
25,168,Female,No,Yes,Sometimes,More than 3,Usually,No,More than 2 Liters,No,5-6 days per week,More than 5 hourse per day,Public Transportation,Normal
25,168,Female,No,No,Always,1 or 2 ,Sometimes,No,Between 1 and 2 Liters,No,3-4 days per week,3-5 hours per day,Public Transportation,Normal
25,169,Female,No,No,Rarely,3,Sometimes,No,Between 1 and 2 Liters,No,5-6 days per week,3-5 hours per day,Public Transportation,Overweight
25,170,Female,No,No,Always,3,Rarely,No,More than 2 Liters,No,7 days per week,3-5 hours per day,Motorbike,Normal
25,172,Female,No,No,Sometimes,1 or 2 ,Usually,No,Between 1 and 2 Liters,No,5-6 days per week,3-5 hours per day,Public Transportation,Normal
25,177,Female,No,No,Always,3,Sometimes,No,Between 1 and 2 Liters,No,1-2 days per week,More than 5 hourse per day,Public Transportation,Normal
26,159,Female,No,Yes,Sometimes,3,Sometimes,No,Between 1 and 2 Liters,No,No sports,3-5 hours per day,Public Transportation,Normal
26,152,Female,No,Yes,Always,3,Rarely,No,More than 2 Liters,No,5-6 days per week,3-5 hours per day,Public Transportation,Normal
26,153,Female,No,Yes,Rarely,3,Usually,No,More than 2 Liters,No,5-6 days per week,1-2 hours per day,Bike,Normal
26,153,Female,No,No,Always,3,Rarely,No,Between 1 and 2 Liters,No,1-2 days per week,3-5 hours per day,Motorbike,Normal
26,156,Female,No,No,Always,1 or 2 ,Sometimes,No,Between 1 and 2 Liters,No,5-6 days per week,1-2 hours per day,Public Transportation,Normal
26,157,Female,No,No,Always,3,Rarely,No,Between 1 and 2 Liters,No,1-2 days per week,More than 5 hourse per day,Motorbike,Normal
26,157,Female,No,No,Sometimes,3,Sometimes,No,More than 2 Liters,No,5-6 days per week,1-2 hours per day,Public Transportation,Normal
26,158,Female,No,Yes,Rarely,1 or 2 ,Rarely,No,More than 2 Liters,No,7 days per week,3-5 hours per day,Public Transportation,Normal
26,160,Female,Yes,No,Rarely,3,Rarely,Yes,More than 2 Liters,No,No sports,1-2 hours per day,Public Transportation,Normal
26,160,Female,No,No,Sometimes,3,Rarely,No,More than 2 Liters,No,1-2 days per week,3-5 hours per day,Motorbike,Normal
26,162,Female,No,No,Always,3,Sometimes,No,Between 1 and 2 Liters,No,1-2 days per week,3-5 hours per day,Public Transportation,Normal
26,165,Female,No,No,Sometimes,3,Rarely,No,More than 2 Liters,No,1-2 days per week,3-5 hours per day,Public Transportation,Normal
26,166,Female,No,No,Sometimes,3,Usually,No,More than 2 Liters,No,7 days per week,1-2 hours per day,Public Transportation,Normal
26,168,Female,No,No,Sometimes,1 or 2 ,Usually,No,Less than 1 Liter,Yes,3-4 days per week,3-5 hours per day,Bike,Normal
26,168,Female,No,No,Always,1 or 2 ,Rarely,No,Less than 1 Liter,No,5-6 days per week,3-5 hours per day,Public Transportation,Normal
26,170,Female,No,No,Always,3,Sometimes,No,More than 2 Liters,No,3-4 days per week,3-5 hours per day,Public Transportation,Normal
26,171,Female,No,No,Always,1 or 2 ,Sometimes,No,Less than 1 Liter,No,5-6 days per week,1-2 hours per day,Walking,Normal
26,174,Female,No,No,Sometimes,3,Sometimes,No,Less than 1 Liter,No,1-2 days per week,3-5 hours per day,Walking,Normal
26,175,Female,Yes,Yes,Rarely,More than 3,Always,Yes,More than 2 Liters,No,7 days per week,More than 5 hourse per day,Public Transportation,Overweight
26,176,Female,Yes,Yes,Sometimes,1 or 2 ,Usually,Yes,Less than 1 Liter,Yes,5-6 days per week,3-5 hours per day,Public Transportation,Normal
27,151,Female,No,No,Always,3,Sometimes,Yes,Between 1 and 2 Liters,No,5-6 days per week,More than 5 hourse per day,Bike,Normal
27,154,Female,No,Yes,Sometimes,3,Rarely,Yes,More than 2 Liters,No,3-4 days per week,3-5 hours per day,Public Transportation,Normal
27,156,Female,Yes,No,Sometimes,More than 3,Usually,No,More than 2 Liters,Yes,5-6 days per week,1-2 hours per day,Public Transportation,Normal
27,159,Female,No,No,Always,1 or 2 ,Always,No,Between 1 and 2 Liters,Yes,7 days per week,More than 5 hourse per day,Public Transportation,Normal
27,159,Female,No,No,Rarely,3,Always,Yes,Between 1 and 2 Liters,No,5-6 days per week,1-2 hours per day,Public Transportation,Overweight
27,159,Female,No,No,Sometimes,3,Sometimes,No,Less than 1 Liter,No,7 days per week,More than 5 hourse per day,Walking,Overweight
27,160,Female,No,Yes,Always,3,Rarely,Yes,Between 1 and 2 Liters,No,7 days per week,1-2 hours per day,Walking,Overweight
27,163,Female,No,No,Rarely,More than 3,Sometimes,No,More than 2 Liters,Yes,5-6 days per week,3-5 hours per day,Automobile,Obesity
27,167,Female,No,No,Always,3,Sometimes,No,More than 2 Liters,No,5-6 days per week,1-2 hours per day,Motorbike,Normal
27,169,Female,No,No,Always,3,Usually,Yes,More than 2 Liters,No,3-4 days per week,1-2 hours per day,Walking,Normal
27,173,Female,No,No,Sometimes,1 or 2 ,Sometimes,No,Less than 1 Liter,No,3-4 days per week,3-5 hours per day,Public Transportation,Normal
28,152,Female,No,Yes,Always,3,Rarely,Yes,More than 2 Liters,No,7 days per week,3-5 hours per day,Public Transportation,Normal
28,157,Female,No,No,Always,1 or 2 ,Usually,Yes,More than 2 Liters,No,1-2 days per week,1-2 hours per day,Public Transportation,Normal
28,158,Female,No,No,Sometimes,3,Sometimes,No,More than 2 Liters,No,1-2 days per week,3-5 hours per day,Public Transportation,Overweight
28,160,Female,No,No,Sometimes,More than 3,Rarely,No,Less than 1 Liter,No,7 days per week,More than 5 hourse per day,Public Transportation,Normal
28,160,Female,No,No,Sometimes,1 or 2 ,Rarely,No,More than 2 Liters,No,No sports,3-5 hours per day,Walking,Normal
28,163,Female,No,No,Always,1 or 2 ,Usually,No,Less than 1 Liter,No,5-6 days per week,More than 5 hourse per day,Public Transportation,Normal
28,164,Female,No,No,Sometimes,1 or 2 ,Sometimes,No,More than 2 Liters,No,3-4 days per week,1-2 hours per day,Bike,Normal
28,166,Female,No,No,Always,3,Usually,No,Between 1 and 2 Liters,No,5-6 days per week,3-5 hours per day,Public Transportation,Normal
28,168,Female,No,No,Sometimes,3,Usually,No,More than 2 Liters,No,1-2 days per week,3-5 hours per day,Bike,Normal
28,170,Female,No,No,Always,1 or 2 ,Usually,No,Less than 1 Liter,No,5-6 days per week,1-2 hours per day,Bike,Normal
28,174,Female,No,No,Always,1 or 2 ,Usually,No,More than 2 Liters,No,No sports,More than 5 hourse per day,Public Transportation,Normal
29,157,Female,No,No,Always,3,Rarely,No,Less than 1 Liter,No,7 days per week,3-5 hours per day,Public Transportation,Normal
29,159,Female,No,No,Sometimes,3,Sometimes,No,Less than 1 Liter,No,3-4 days per week,1-2 hours per day,Walking,Normal
29,161,Female,No,No,Sometimes,3,Always,No,Between 1 and 2 Liters,No,3-4 days per week,3-5 hours per day,Public Transportation,Overweight
29,162,Female,No,No,Sometimes,3,Sometimes,No,Between 1 and 2 Liters,No,1-2 days per week,3-5 hours per day,Walking,Overweight
29,165,Female,No,No,Sometimes,3,Usually,No,More than 2 Liters,No,1-2 days per week,1-2 hours per day,Public Transportation,Normal
29,168,Female,No,No,Always,1 or 2 ,Usually,No,More than 2 Liters,Yes,7 days per week,3-5 hours per day,Public Transportation,Normal
29,170,Female,No,No,Sometimes,3,Sometimes,No,More than 2 Liters,No,1-2 days per week,1-2 hours per day,Public Transportation,Normal
29,171,Female,No,No,Sometimes,3,Usually,No,Less than 1 Liter,No,3-4 days per week,3-5 hours per day,Public Transportation,Normal
